Title,Excerpt,Year,Authors,URL,Citations
"Defective fibrinolysis in blood and vein walls in recurrent"" idiopathic"" venous thrombosis.","... 1972;138(4):313-9. Defective fibrinolysis in blood and vein walls in recurrent ""idiopathic"" venousthrombosis. ... MeSH Terms. Adolescent; Adult; Aged; Antifibrinolytic Agents*; Blood Circulation;Female; Fibrinolysis*; Hemostatics; Humans; Male; Middle Aged; Plasminogen/analysis ...",1972,"S Isacson, IM Nilsson ",http://www.ncbi.nlm.nih.gov/pubmed/5040598,257
"Studies on blood coagulation and fibrinolysis in pregnancy, during delivery and in the puerperium","Abstract Blood coagulation and fibrinolytic variables were investigated with recently developed laboratory methods during normal pregnancy, at delivery and during puerperium. The state of hypercoagulability was registered by an increase in activity of factors XII, X  ...",1981,"M Hellgren, M Blombäck ",http://www.karger.com/Article/Abstract/299596,220
Activation of fibrinolysis in the pericardial cavity during cardiopulmonary bypass.,"The clotting and fibrinolytic systems are activated by tissue factor and by tissue-type plasminogen activator in the pericardial cavity, where the thrombogenicity is greater than that of the surface of modern extracorporeal circuits. This local activation may have  ...",1993,"N Tabuchi, J De Haan, PW Boonstra… ",http://europepmc.org/abstract/med/8231204,168
Fibrinolysis: a standardized fibrin plate method and a fibrinolytic assay of plasminogen,,1967,P Brakman ,,148
Feedback activation of factor XI by thrombin in plasma results in additional formation of thrombin that protects fibrin clots from fibrinolysis,"Abstract Recently, an alternative pathway for factor XI activation has been described in which factor XI is activated by thrombin. Patients with a factor XI deficiency bleed mostly from tissues with high local fibrinolytic activity. Therefore, the role of thrombin-mediated factor  ...",1995,"PA Von dem Borne, JC Meijers, BN Bouma ",http://www.bloodjournal.org/content/86/8/3035.short,252
The fibrinolytic effects of intermittent pneumatic compression: mechanism of enhanced fibrinolysis.,"Methods Twelve volunteers (6 normal and 6 postthrombotic) had 5 IPC devices applied for 120 minutes in random fashion, 1 per week x 5weeks. The devices includedsingle-chamber, sequential, foot, calf, and long-leg compression. Subjects had an indwelling antecubital  ...",1997,"AJ Comerota, V Chouhan, RN Harada, L Sun… ",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1191029/,241
Fibrinolysis for patients with intermediate-risk pulmonary embolism,"Methods In a randomized, double-blind trial, we compared tenecteplase plus heparin with placebo plus heparin in normotensive patients with intermediate-risk pulmonary embolism. Eligible patients had right ventricular dysfunction on echocardiography or computed  ...",2014,"G Meyer, E Vicaut, T Danays, G Agnelli… ",http://www.nejm.org/doi/full/10.1056/NEJMoa1302097,331
Obesity and impaired fibrinolysis: role of adipose production of plasminogen activator inhibitor-1,"Abstract Obesity is the central promoter of the metabolic syndrome which also includes disturbed fibrinolysis in addition to hypertension, dyslipidaemia and impaired glucose tolerance/type 2 diabetes mellitus. Plasminogen activator inhibitor-1 (PAI-1) is the most  ...",2004,"T Skurk, H Hauner ",http://www.nature.com/ijo/journal/v28/n11/abs/0802778a.html,267
Local intraarterial fibrinolysis in the carotid territory.,Abstract A series comprising 12 patients who had intraarterial local fibrinolysis in the carotid territory is reported. A classification is proposed that divides the different types of occlusions into three groups on the basis of angiographic location. Group 1 (two cases) comprises  ...,1989,"J Theron, P Courtheoux, A Casasco… ",http://www.ajnr.org/content/10/4/753.short,258
Activation of fibrinolysis by apolipoproteins of high density lipoproteins in man,"Abstract The effects on fibrinolysis of purified normal human plasma lipoproteins and their apolipoproteins (apo) were assessed in an in vitro system containing urokinase, plasminogen, and fibrin. High and very low density lipoproteins (HDL and VLDL,  ...",1985,"K Saku, M Ahmad, P Glas",http://www.sciencedirect.com/science/article/pii/0049384885901161,128
Fibrinolysis,"Abstract Over the last several years, there has been an explosion of new discoveries in the field of fibrinolysis. The cDNA and consequently the primary amino sequences of most of the components of the fibrinolytic system have been determined (reviewed in part in 1), the  ...",1989,F Bachman ,http://link.springer.com/10.1007/978-1-4613-0753-2_18,245
"Pneumatic calf compression, fibrinolysis, and the prevention of deep venous thrombosis.","In a previous pilot study that did not reach statistical significance, intermittent single-leg pneumatic compression appeared effective in reducing the incidence of calf vein thrombosis not only in the pumped calf but also in the unpumped leg in 37 patients, using the 125I- ...",1980,"TJ Tarnay, PR Rohr, AG Davidson, MM Stevenson… ",http://europepmc.org/abstract/med/7423372,166
Hageman factor substrates. Human plasma prekallikrein: mechanism of activation by Hageman factor and participation in hageman factor-dependent fibrinolysis.,"Abstract Two molecular forms of prekallikrein can be isolated from pooled normal human plasma. Their approximate molecular weights by sodium dodecyl sulfate-gel electrophoresis are 88,000 and 85,000. The two bands observed are shown to represent prekallikrein by  ...",1977,"R Mandle, AP Kaplan ",http://www.jbc.org/content/252/17/6097.short,262
"Endogenous testosterone, fibrinolysis, and coronary heart disease risk in hyperlipidemic men.","To assess relationships of endogenous testosterone with fibrinolysis and coronary heart disease risk factors in 55 newly referred hyperlipidemic men, we studied the relationships of testosterone to basal fibrinolytic activity, lipids, lipoproteins, and apolipoproteins.  ...",1993,"CJ Glueck, HI Glueck, D Stroop, J Speirs… ",http://europepmc.org/abstract/med/8228555,111
Activation of blood coagulation after cardiac arrest is not balanced adequately by activation of endogenous fibrinolysis,Background Animal studies have demonstrated that hemostatic disorders occurring after cardiac arrest affect outcome. We investigated hemostatic changes during and after cardiopulmonary resuscitation (CPR) in humans.,1995,"BW Böttiger, J Motsch, H Böhrer, T Böker, M Aulmann… ",http://circ.ahajournals.org/content/92/9/2572.short,241
Heparin causes platelet dysfunction and induces fibrinolysis before cardiopulmonary bypass,"BACKGROUND.: Platelet dysfunction and increased fibrinolysis are the most important etiologic factors in the hemostatic defect observed following the institution of cardiopulmonary bypass. This study examined the effects of heparin per se, administered  ...",1995,"SF Khuri, CR Valeri, J Loscalzo, MJ Weinstein… ",http://www.sciencedirect.com/science/article/pii/000349759500668B,167
"uPA and uPAR in fibrinolysis, immunity and pathology",The urokinase plasminogen activator (uPA) and its receptor (uPAR) exert pleiotropic functions over the course of both physiological and pathological processes. Data generated in deficient mice have underlined how uPA not only has a key role in fibrinolysis but also  ...,2004,"A Mondino, F Blasi ",http://www.sciencedirect.com/science/article/pii/S1471490604001851,230
Enhancement of fibrinolysis in vitro by ultrasound.,Abstract The effect of ultrasound on the rate of fibrinolysis has been investigated using an in vitro system. Plasma or blood clots containing a trace label of 125I fibrin were suspended in plasma containing plasminogen activator and intermittently exposed to continuous wave 1 ...,1992,"CW Francis, PT Onundarson… ",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC443272/,228
Abnormal plasminogen-plasmin system activity (fibrinolysis) in patients with hepatic cirrhosis: its cause and consequences,"Methods Plasma thrombolytic activity was assayed by the euglobulin lysis time as previously modified to permit expression of the results in units (11) and by the IP-labeled clot lysis assay (12, 13). The plasma euglobulins were precipitated from 0.5 ml plasma according to  ...",1964,"AP Fletcher, O Biederman, D Moore… ",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC289545/,271
Decreased platelet number and function and increased fibrinolysis contribute to postoperative bleeding in cardiopulmonary bypass patients.,"We simultaneously evaluated platelet and fibrinolytic parameters to assess their individual and combined contributions to postoperative blood loss in cardiopulmonary (CP) bypass patients. Platelet count, platelet aggregability, hematocrit, plasminogen (PLG)  ...",1988,"DS Holloway, L Summaria, J Sandesara… ",http://europepmc.org/abstract/med/2452492,231
Paradoxic elevation of fibrinopeptide A after streptokinase: evidence for continued thrombosis despite intense fibrinolysis,Methods Selection of the patients and treatment. We studied 19 patients who received streptokinase within 8 hours of the onset of symptoms. All had 2: I mm of ST segment elevation in two contiguous leads and were< 76 years of age. Patients were excluded if  ...,1987,"PR Eisenberg, LA Sherman, AS Jaffe ",http://www.sciencedirect.com/science/article/pii/S0735109787801948,225
The effect of fibrin structure on fibrinolysis.,"Abstract Fibrin structure contributes to the regulation of the fibrinolytic rate. As the fibrin fiber size is decreased, the fibrinolytic rate also decreases. Fibrin structure was altered by either changing the ratio of thrombin to fibrinogen, ie altering the assembly rate or by adding a  ...",1992,"DA Gabriel, K Muga, EM Boothroyd ",http://www.jbc.org/content/267/34/24259.short,217
